legacy	rom
2. Mæü$Èa GMæüPyæþ$…¨? (Vøyæþ §æþVæüYÆæÿ) 4. ò³sñýtË$ GMæüPyæþ$¯é²Æÿ$$? (ºËÏ Mìü…§æþ)	kurcī ekkaḍuṁdi? (gōḍa daggara) peṭṭelu ekkaḍunnāyi?
Ððþ$$™èþ¢…	mottaṁ
G°²	enni
CÑ	ivi
C…MöMæü	iṁkoka
D	ī
H	ē
Æðÿ…yæþ$	reṁḍu
A±²	annī
JMæü	oka
ÌôýÐèþ#	lēvu
Ðèþ$*yæþ$	mūḍu
Mö°²	konni
GMæüPyæþ	ekkaḍa
Mìü…§æþ	kiṁda
AÑ	avi
JMæüsìý	okaṭi
B	ā
BÆæÿ$	āru
§æþVæüYÆæÿ	daggara
Hyæþ$	ēḍu
HÑ	ēvi
G°Ñ$¨	enimidi
^èþ*yæþ$	cūḍu
™öÑ$Ã¨	tommidi
¯éË$Væü$	nālugu
ç³¨	padi
ò³sñýt	peṭṭe
ç³§æþMö…yæþ$	padakoṁḍu
Ò$§æþ	mīda
ç³¯ðþ²…yæþ$	panneṁḍu
ç³§æþÐèþ$*yæþ$	padamūḍu
E…¨	uṁdi
ç³«§é²Ë$Væü$	padhnālugu
Ìôý§æþ$	lēdu
ç³¨õßý¯èþ$	padihēnu
ç³MæüP¯èþ	pakkana
Ë$	lu
JMæü	oka kukka.
JMæü	reṁḍu talupulu.
A…	aṁ
A…	aṁ
&Ë$	-lu
Mæü$MæüP GMæüPyæþ E…¨?	kukka ekkaḍa uṁdi?
G°²	enni
AÑ G°² MæüÌêË$?	avi enni kalālu?
B MæüÌêË$ G°²?	ā kalālu enni?
AÑ G°² Mæü$MæüPË$?	avi enni kukkalu?
B Mæü$MæüPË$ G°²?	ā kukkalu enni?
HÑ	ēvi
H¨	ēdi
HÑ ± MæüÌêË$?	ēvi nī kalālu?
ÌZ	lō
MæüË… ò³sñýtÌZ E…¨.	kalaṁ peṭṭelō uṁdi.
¯èþ$Ðèþ#Ó B Mæü$ÈaÌZ Mæü*Æøa.	nuvvu ā kurcīlō kūrcō.
MæüË… ºËÏ Ò$§æþ E…¨.	kalaṁ balla mīda uṁdi.
ò³sñýt ºËÏ Mìü…§æþ E…¨.	peṭṭe balla kiṁda uṁdi.
Mæü$MæüP ºËÏ §æþVæüYÆæÿ E…¨.	kukka balla daggara uṁdi.
í³ÍÏ Vøyæþ ç³MæüP¯èþ E…¨.	pilli gōḍa pakkana uṁdi.
AÑ	avi
CÑ	ivi
A¨	adi
C¨	idi
HÑ	ēvi
A¨	adi
AÑ	avi
C¨	idi
CÑ	ivi
H¨	ēdi
HÑ	ēvi
A¨ VæüyìþÄæý*Ææÿ….	adi gaḍiyāraṁ.avi gaḍiyārālu
C¨ MæüË….	idi kalaṁ.
CÑ MæüÌêË$.	ivi kalālu.
H¨ ± ç³#çÜ¢Mæü…?	ēdi nī pustakaṁ?
HÑ ± ç³#çÜ¢M>Ë$?	ēvi nī pustakālu?
B	ā
D	ī
B MæüË… ; B MæüÌêË$.	ā kalaṁ ; ā kalālu.
D ™èþË$ç³# ; D ™èþË$ç³#Ë$.	ī talupu ; ī talupulu.
H Mæü$Èa ; H Mæü$ÈaË$.	ē kurcī ; ē kurcīlu.
JMæü	oka
JMæüsìý	okaṭi
A¨ JMæüsìý	adi okaṭi
HÑ$sìý	adi ēmiṭi?
Mö°²	konni
A±²	annī
Æ>k : ÎÌê! Ðéâæý$Ï G…™èþÐèþ$…¨?	rāju : līlā! vāḷlu eṁtamaṁdi?
ÎË : Ðéâæý$Ï BÆæÿ$Væü$Ææÿ$.	līla : vāḷlu āruguru.
ÎË : Ò$Ææÿ$ C§æþªÆæÿ$.	līla : mīru iddaru.
ÎË : Ðèþ$¯èþ… Ðèþ$$Væü$YÆæÿ….	līla : manaṁ mugguraṁ
ÎË : Ðéâæý$Ï C§æþªÆæÿ$	līla : vāḷlu iddaru.
Æ>k : Ðóþ$… I§æþ$Væü$Ææÿ….	rāju : mēṁ aiduguraṁ.
Æ>k : Ðóþ$… Hyæþ$Væü$Ææÿ….	rāju : mēṁ ēḍuguraṁ.
Ðèþ*çÙtÆæÿ$ : X™é! ¯èþ$Ðèþ#Ó GÐèþÇÑ?	māṣṭaru : gītā! nuvvu evarivi?
X™èþ : ¯óþ¯èþ$ Ñ§éÅÇ¦°°.	gīta : nēnu vidyārthinini.
Ðèþ*çÙtÆæÿ$ : Æ>Ðèþ$*! ¯èþ$Ðèþ#Ó GÐèþÇÑ?	māṣṭaru : rāmū! nuvvu evarivi?
Æ>Ðèþ$$ : ¯óþ¯èþ$ Ñ§éÅÇ¦°.	rāmu : nēnu vidyārthini.
ïÜ™èþ : Ðéâæý$å C§æþªÆæÿ$ Ñ§éÅÆæÿ$¦Ë$.	sīta : vāḷlu iddaru vidyārthulu.
X™èþ, Æ>Ðèþ$$: Ðóþ$… Ñ§éÅÆæÿ$¦Ë….	gīta, rāmu : mēṁ vidyārthulaṁ.
Ðèþ*çÙtÆæÿ$ : ïÜ™é! X™é! Ò$Ææÿ$ GÐèþÆæÿ$?	māṣṭaru : sītā! gītā! mīru evaru?
ïÜ™èþ, X™èþ: Ðóþ$… Ñ§éÅÇ¦¯èþ$Ë….	sīta, gīta: mēṁ vidyārthinulaṁ.
ÆæÿÑ, Æ>Ðèþ$$: Ðóþ$… Ñ§éÅÆæÿ$¦Ë…	ravi, rāmu: mēṁ vidyārthulaṁ
Ðèþ*çÙtÆæÿ$ : ÆæÿÒ! ïÜ™é X™é GÐèþÆæÿ$?	māṣṭaru : ravī! sītā gītā evaru?
ÆæÿÑ	ravi : vāḷlu vidyārthinulu
Ðèþ*çÙtÆæÿ$ : ïÜ™é! ÆæÿÒ Æ>Ðèþ$* GÐèþÆæÿ$?	māṣṭaru : sītā! ravī rāmū evaru?
ïÜ™èþ : Ðéâæý$å Ñ§éÅÆæÿ$¦Ë$.	sīta : vāḷlu vidyārthulu.
ÆæÿÑ, Æ>Ðèþ$$: Ò$Ææÿ$ Ðèþ* Ðèþ*çÙtÆæÿ$V>Ææÿ$.	ravi, rāmu: mīru mā māṣṭarugāru.
Ðèþ*çÙtÆæÿ$ : ïÜ™é! Ò$Ææÿ$ GÐèþÇ Ñ§éÅÆæÿ$¦Ë$?	māṣṭaru : sītā! mīru evari vidyārthulu?
ïÜ™èþ : Ðóþ$… Ò$ Ñ§éÅÆæÿ$¦Ë….	sīta : mēṁ mī vidyārthuluṁ.
Ðèþ*çÙtÆæÿ$ : ¯óþ¯èþ$ GÐèþÇ°?	māṣṭaru : nēnu evarini?
ïÜ™èþ : Ò$Ææÿ$ Ðèþ* Ðèþ*çÙtÆæÿ$V>Ææÿ$.	sīta : mīru mā māṣṭarugāru.
Ðèþ*çÙtÆæÿ$ : DÄæý$¯èþ GÐèþÇ Ðèþ*çÙtÆæÿ$?	māṣṭaru : īyana evari māṣṭaru?
ïÜ™èþ : BÄæý$¯èþ Mæü*yé Ðèþ* Ðèþ*çÙtÆæÿ$V>Æóÿ.	sīta : āyana kūḍā mā māṣṭarugārē.
Ðèþ*çÙtÆæÿ$ : Ðóþ$… GÐèþÇÑ$?	māṣṭaru : mēṁ evarimi?
ïÜ™èþ : Ò$Ææÿ$ Ðèþ* Ðèþ*çÙtÆæÿ$Ï.	sīta : mīru mā māṣṭarlu.
Ðèþ*çÙtÆæÿ$ : C¨ GÐèþÇ M>ÏçÜ$?	māṣṭaru : idi evari klāsu?
ïÜ™èþ : C¨ ÐéâæýÏ M>ÏçÜ$.	sīta : idi vāḷla klāsu.
Ðèþ*çÙtÆæÿ$ : Òâæý$Ï GÐèþÆæÿ$?	māṣṭaru : vīḷlu evaru?
ïÜ™èþ : Òâæý$Ï Ðèþ* õÜ²íßý™èþ$Ë$?	sīta : vīḷḷu mā snēhitulu.
Ðèþ*çÙtÆæÿ$ : A¨ GÐèþÇ M>ÏçÜ$?	māṣṭaru : adi evari klāsu
ïÜ™èþ : A¨ ÒâæýÏ M>ÏçÜ$.	sīta : adi vīḷla klāsu.
Ðèþ*çÙtÆæÿ$ : C¨ GÐèþÇ çÜ*PË$?	māṣṭaru : idi evari skūlu?
ïÜ™èþ : C¨ Ðèþ$¯èþ çÜ*PË$.	sīta : idi mana skūlu.
Vøí³ : Ò$Ææÿ$ B…{«§æþ$Ë$.	gōpi : mīru āṁdhrulu.
ÆæÿÑ	ravi : bhāratadēśaṁ mana dēśaṁ.
Ðéâæý$å yéMæütÆæÿ$Ï. (C§æþªÆæÿ$)	vāḷlu dākṭarlu. (iddaru)
Ðéâæý$å C§æþªÆæÿ$ yéMæütÆæÿ$Ï.	vāḷlu iddaru ḍākṭarlu.
1. Òâæý$å Ñ§éÅÆæÿ$¦Ë$. (Ðèþ$$Væü$YÆæÿ$) 3. Ò$Ææÿ$ Ñ§éÅÆæÿ$¦Ë$. (ç³¨Ðèþ$…¨)	vīḷḷu vidyārthulu. (mugguru)
2. Ðèþ$¯èþ… sîý^èþÆæÿÏ…. (¯èþË$Væü$Ææÿ…)	manaṁ ṭīcarlaṁ. (naluguraṁ)
CÑ GÐèþÇ ç³#çÜ¢M>Ë$? (Ðóþ$…)	ivi evari pustakālu? (mēṁ)
CÑ Ðèþ* ç³#çÜ¢M>Ë$.	ivi mā pustakālu.
1. AÑ GÐèþÇ MæüÌêË$? (Ðéâæý$å) 3. CÑ GÐèþÇ Væü§æþ$Ë$? (Ò$Ææÿ$)	avi evari kalālu? (vāḷlu)
2. C¨ GÐèþÇ §óþÔèý…? (Ðèþ$¯èþ…)	idi evari dēśaṁ (manaṁ)
Ò$Ææÿ$ GÐèþÆæÿ$? (Ñ§éÅÆæÿ$¦Ë$)	mīru evaru? (vidyārthulu)
Ðóþ$… Ñ§éÅÆæÿ$¦Ë….	mēṁ vidyārthulaṁ
1. Ò$Ææÿ$ GÐèþÆæÿ$? (yéMæütÆæÿ$Ï)	mīru evaru? (ḍākṭarlu)
3. Ò$Ææÿ$ GÐèþÆæÿ$? (sîý^èþÆæÿ$Ï)	mīru evaru? (ṭīcarlu)
2. Ò$Ææÿ$ GÐèþÆæÿ$? (¿êÆæÿ¡Äæý$$Ë$)	mīru evaru? (bhāratīyulu)
Ò$Ææÿ$ G…™èþÐèþ$…¨? (Æðÿ…yæþ$)	mīru eṁtamaṁdi? (reṁḍu)
Ðóþ$… C§æþªÆæÿ….	mēṁ iddaraṁ
1. Ò$Ææÿ$ G…™èþÐèþ$…¨? (Ðèþ$*yæþ$) 3. Ò$Ææÿ$ G…™èþÐèþ$…¨? (¯éË$Væü$)	mīru eṁtamaṁdi? (mūḍu)
2. Ò$Ææÿ$ G…™èþÐèþ$…¨? (I§æþ$)	miru eṁtamaṁdi? (aidu)
Ðèþ$¯èþ… G…™èþÐèþ$…¨Ñ$? (BÆæÿ$)	manaṁ eṁtamaṁdimi? (āru) manaṁ āruguraṁ.
2. Ðèþ$¯èþ… G…™èþÐèþ$…¨Ñ$? (I§æþ$)	manaṁ eṁtamaṁdimi? (aidu)
Ðéâæý$Ï G…™èþÐèþ$…¨? (G°Ñ$¨)	vāḷlu eṁtamaṁdi? (enimidi) vāḷlu enimidimaṁdi.
1. Òâæý$Ï G…™èþÐèþ$…¨? (™öÑ$Ã¨) 3. Òâæý$Ï G…™èþÐèþ$…¨? (ç³¨)	vīḷlu eṁtamaṁdi? (tommidi) vīḷlu eṁtamaṁdi? (padi)
2. Ðéâæý$Ï G…™èþÐèþ$…¨? (ç³§æþMö…yæþ$)	vāḷlu eṁtamaṁdi? (padakoṁḍu)
¯èþ$Ðèþ#Ó GÐèþÇÑ? (B…{«§æþ$yæþ$)	nuvvu evarivi? (āṁdhrudu)
¯óþ¯èþ$ B…{«§æþ$×ìý~.	nēnu āṁdruṇṇi.
1. ¯èþ$Ðèþ#Ó GÐèþÇÑ? (õÜ²íßý™èþ$yæþ$)	nuvvu evarivi? (snēhituḍu)
3. ¯èþ$Ðèþ#Ó GÐèþÇÑ? (¿êÆæÿ¡Äæý$$yæþ$)	nuvvu evarivi? (bhāratīyuḍu)
2. ¯èþ$Ðèþ#Ó GÐèþÇÑ ? (Æ>Ðèþ$$yæþ$)	nuvvu evarivi? (rāmuḍu)
Ðéâæý$Ï G…™èþÐèþ$…¨ Ñ§éÅÆæÿ$¦Ë$? (C§æþªÆæÿ$)	vāḷlu eṁtamaṁdi vidyārthulu? (iddaru)
1. Ðéâæý$Ï G…™èþÐèþ$…¨ yéMæütÆæÿ$Ï? (Ðèþ$$Væü$YÆæÿ$)	vīḷlu eṁtamaṁdi ḍākṭarlu? (mugguru)
2. Ðéâæý$Ï G…™èþÐèþ$…¨ õÜ²íßý™èþ$Ë$? (¯èþË$Væü$Ææÿ$)	vāḷlu eṁtamaṁdi snēhitulu? (naluguru)
3. Ðéâæý$Ï G…™èþÐèþ$…¨ sîý^èþÆæÿ$Ï? (I§æþ$Væü$Ææÿ$)	vāḷlu eṁtamaṁdi ṭīcarlu? (aiduguru)
1. A™èþ¯èþ$ JMæüyæþ$. ¯èþ$Ðèþ#Ó JMæüyìþÑ. Ò$Ææÿ$	atanu okaḍu. nuvvu okaḍivi. mīru
2. Ò$Ææÿ$ Ðèþ$$Væü$YÆæÿ$. Ðóþ$… ¯èþË$Væü$Ææÿ…. Ðèþ$¯èþ…	mīru mugguru. mēṁ naluguraṁ. manaṁ
3. ¯èþ$Ðèþ#Ó JMæüyìþÑ. Ðóþ$… I§æþ$Væü$Ææÿ…. Ðèþ$¯èþ…	nuvvu okaḍivi. mēṁ aiduguraṁ. manaṁ
4. Ðéâæý$Ï ¯èþË$Væü$Ææÿ$. Ðèþ$¯èþ… ¯èþË$Væü$Ææÿ…. Ðèþ$¯èþ… Ððþ$$™èþ¢…	vāḷlu naluguru. manaṁ naluguraṁ. manaṁ mottaṁ
Ðóþ$…	mēṁ
1. ¯èþ$Ðèþ#Ó Ñ§éÅÇ¦Ñ. ¯óþ¯èþ$ Ñ§éÅÇ¦°.	nuvvu vidyārthivi. nēnu vidyārthini.
Ñ§éÅÆæÿ$¦Ë….	vidyārthulaṁ.
2. ¯óþ¯èþ$ Ðèþ*çÙtÇ². ¯èþ$Ðèþ#Ó Ðèþ*çÙtÆæÿ$Ñ. BÄæý$¯èþ Ðèþ*çÙtÆæÿ$.	nēnu māṣṭarni. nuvvu māṣṭaruvi. āyana māṣṭaru.  māṣṭarlaṁ.
3. BÄæý$¯èþ yéMæütÆæÿ$. ¯óþ¯èþ$ yéMæütÇ².	āyana ḍākṭaru. nēnu ḍākṭarni.
yéMæütÆæÿÏ….	ḍākṭarlaṁ.
4. Ò$Ææÿ$ Ñ§éÅÆæÿ$¦Ë$. ¯óþ¯èþ$ Ñ§éÅÇ¦°.	mīru vidyārthulu. nēnu vidyārthini.
Ñ§éÅÆæÿ$¦Ë….	vidyārthulaṁ.
5. Ò$Ææÿ$ C§æþªÆæÿ$. Ðóþ$… ¯èþË$Væü$Ææÿ….	mīru iddaru. mēṁ naluguraṁ.
BÆæÿ$Væü$Ææÿ….	āruguraṁ.
6. ¯óþ¯èþ$ JMæü×ìý~. Ðéâæý$Ï C§æþªÆæÿ$.	nēnu okaṇṇi. vāḷlu iddaru.
G…™èþÐèþ$…¨Ñ$?	eṁtamaṁdimi?
A¨	adi
ç³#çÜ¢Mæü…. (¯óþ¯èþ$)	pustakaṁ. (nēnu) adi nā pustakaṁ.
1. C¨	idi
VæüyìþÄæý*Ææÿ…. (Ò$Ææÿ$) 3. C¨	gaḍiyāraṁ. (mīru) idi
M>ÏçÜ$. (Ðóþ$…)	klāsu. (mēṁ)
2. A¨	adi
çÜ*PË$. (Ðéâæý$å) 4. C¨	skūlu. (vāḷḷu)
§óþÔèý…. (Ðèþ$¯èþ…)	dēśaṁ. (manaṁ)
JMæüÆæÿ$	okaṭi
JMæüyæþ$	okaru.
1. ÆæÿÑ	ravi
.	.
3. MæüË…	kalaṁ
.	.
2. BÄæý$¯èþ	āyana
.	.
4. ´ëç³	pāpa
.	.
1. ¯èþ$Ðèþ#Ó	nuvvu
.	.
3. BÄæý$¯èþ	āyana
.	.
2. ¯óþ¯èþ$	nēnu
.	.
4. Ò$Ææÿ$	mīru
.	.
Ðéâæý$Ï	vāḷlu
G…™èþÐèþ$…¨	eṁtamaṁdi
&Væü$Ææÿ$	-guru
JMæüyæþ$	okaḍu
Ðóþ$…	mēṁ
C§æþªÆæÿ$	iddaru
JMæü™ðþ	okate
Ðèþ$¯èþ…	manaṁ
Ðèþ$$Væü$YÆæÿ$	mugguru
Òâæý$Ï	vīḷlu
¯èþË$Væü$Ææÿ$	naluguru
§óþÔèý…	dēśam
&Ðèþ$…¨	-maṁdi
Ðèþ*	mā
M>ÏçÜ$	klāsu
ÐéâæýÏ	vāḷla
ÒâæýÏ	vīḷla
çÜ*PË$	skūlu
Ðèþ$¯èþ	mana
B…{«§æþ$yæþ$	āṁdhruḍu
Mæü¯èþ²yæþ…	kannaḍaṁ
¿êÆæÿ¡Äæý$$yæþ$	bhāratīyuḍu
™èþÑ$âæý…	tamiḷaṁ
Ðèþ$âæýÄæý*âæý…	malayāḷaṁ
JÇÄæý*	oriyā
¿êçÙ	bhāṣa
¿êÆæÿ™èþ§óþÔèý…	bhāratadēśaṁ
§óþÔèý…	dēśaṁ
Ðóþ$…	mēṁ
Ðèþ*	mā
ÆæÿÒ! Ðóþ$… B…{«§æþ$Ë….	ravī! mēṁ āṁdhrulaṁ.
Ðèþ$¯èþ…	manaṁ
Ðèþ$¯èþ	mana
ÆæÿÒ! Ðèþ$¯èþ… ¿êÆæÿ¡Äæý$$Ë….	ravī! manaṁ bhāratīyulaṁ.
C¨ Ðèþ$¯èþ §óþÔèý….	idi mana dēśaṁ.
Ò$Ææÿ$	mīru
Ò$	mī
Òâæý$Ï	vāḷlu
Ðéâæý$Ï	vīḷlu
Ðéâæý$Ï Ñ§éÅÆæÿ$¦Ë$.	vāḷlu vidyārthulu.
Òâæý$Ï yéMæütÆæÿ$Ï.	vīḷlu ḍākṭarlu.
ÐéâæýÏ	vāḷla
ÒâæýÏ	vīḷla
Òâæý$Ï	vāḷlu
Òâæý$Ï	vīḷlu
AÑ ÐéâæýÏ ç³#çÜ¢M>Ë$.	avi vāḷla pustakālu.
A¨ ÒâæýÏ çÜ*PË$.	adi vīḷla skūlu.
Ðéâæý$Ï G…™èþÐèþ$…¨?	vāḷlu eṁtamaṁdi?
Ðéâæý$Ï G…™èþÐèþ$…¨ yéMæütÆæÿ$Ï?	vāḷlu eṁtamaṁdi ḍākṭarlu?
AÑ G°² MæüÌêË$?	avi enni kalālu?
Ðéâæý$Ï G…™èþÐèþ$…¨ Ñ§éÅÆæÿ$¦Ë$?	vāḷlu eṁtamaṁdi vidyārthulu?
&Væü$Ææÿ$	-maṁdi
JMæüyæþ$	okaru
A™èþ¯èþ$ JMæüyæþ$.	atanu okaḍu.
BÐðþ$ JMæü™ðþ.	āme okate.
BÄæý$¯èþ/BÐðþ$ JMæüÆæÿ$.	āyana/āme okaru.
JMæü™ðþ	okaḍu,
JMæü	oka
JMæü Ñ§éÅÇ¦.	oka vidyārthi.
JMæü Ñ§éÅÇ¦°.	oka vidyārthini.
JMæü yéMæütÆæÿ$.	oka ḍākṭaru.
C§æþªÆæÿ$ Ñ§éÅÆæÿ$¦Ë$.	iddaru vidyārthulu.
Ðèþ$$Væü$YÆæÿ$ Ñ§éÅÆæÿ$¦Ë$.	mugguru vidyārthulu.
Ðèþ$¯èþ…	manaṁ
Ðèþ$¯èþ…	aṁ/mi
Ñ$	mi
C	i
Ðèþ$¯èþ…	aṁ
Ðóþ$…/Ðèþ$¯èþ… G…™èþÐèþ$…¨&Ñ$.	mēṁ/manaṁ eṁtamaṁdi-mi?
Ðóþ$…/Ðèþ$¯èþ… ç³¨Ðèþ$…¨&Ñ$.	mēṁ/manaṁ padimaṁdi-mi.
GÐèþÇ	evaru
Ðóþ$…/Ðèþ$¯èþ… yéMæütÆæÿÏ….	mēṁ/manaṁ ḍākṭarl-aṁ.
Ò$Ææÿ$ Ñ§éÅÆæÿ$¦Ë$.	mīru vidyārthulu (no concord).
&Ë$ & &	lu
C	i
C	i
E	u
&Ë$ & &	lu
Væü§æþ$Ë$	gadulu
í³Ë$ÏË$	pillulu
yæþ$	ḍu
yæþ$	ḍu
&Ë$ & &	lu
õÜ²íßý™èþ$Ë$	snēhitulu
ÆŠÿ	r
¯Œþ	n
ÌŒý	l
yéMæütÇ²	ḍākṭarni (2.12.1.)
yéMæütÆæÿ$Ï	ḍākṭarlu
yìþ	ḍi
¯Œþ	n
×Šý~þ	ṇṇ
°	ni
JMæüyìþ	okaḍu
Ò$	mī
±	nī
CË$Ï	illu
¯é¯èþ²	nānna
™é™èþ	tāta
¿êÆæÿÅ	bhārya
¿æýÆæÿ¢	bharta
¿æýÆæÿ¢	kūturu
Vøí³	gōpi : rā subbārāvu! kūrcō.
çÜ$»ê¾Æ>Ðèþ# : ± §æþVæüYÆæÿ Mæü¯éÅÔèý$ËP… E…§é?	subbārāvu: nī daggara kanyāśulkaṁ
Vøí³	gōpi : uṁdi. ā balla mīda uṁdi, cūḍu.
çÜ$»ê¾ : C¨ Mæü¯éÅÔèý$ËP… M>§æþ$, Vøï³!	subbā : idi kanyāśulkaṁ kādu, gōpī!
çÜ$»ê¾ : C¨ Mæü¯éÅÔèý$ËPÐóþ$.	subbā : idi kanyāśulkamē.
Vøçí³	gōpi : tīsuko.
çÜ$»ê¾ : C¨ GÐèþÇ ç³#çÜ¢Mæü…?	subbā : idi evari pustakaṁ?
Vøí³	gōpi : nā snēhituḍi pustakaṁ.
çÜ$»ê¾ : GÐèþÇ ç³#çÜ¢Mæü…? {ç³Ýë§Šþ ç³#çÜ¢MæüÐèþ*?	subbā : evari pustakaṁ? prasād
Vøí³	gōpi : prasād pustakaṁ kādu. ravi
: {ç³Ýë§Šþ ç³#çÜ¢Mæü… M>§æþ$. ÆæÿÑ ç³#çÜ¢Mæü….	pustakaṁ.
çÜ$»ê¾ : AÌêV>! ÒÆæÿ$ GÐèþÆæÿ$?	subbā : alāgā! vīru evaru?
Vøí³	gōpi : mā nānnagāru.
çÜ$»ê¾ : ¯èþÐèþ$ÝëPÆæÿÐèþ$…yîþ!	subbā : namaskāramaṁḍī!
Æ>Ðèþ$Äæý$Å : ± õ³ÆóÿÑ$sìý »êº*!	rāmayya : nī pērēmiṭi bābū!
Æ>Ðèþ$Äæý$Å : AÌêV>! Ò$Ææÿ$ G…™èþÐèþ$…¨	rāmayya : alāgā! mīru eṁtamaṁdi
A¯èþ²§æþÐèþ$$ÃË$?	annadammulu?
Æ>Ðèþ$Äæý$Å : Ò$ A¯èþ²Äæý$Å õ³ÆóÿÑ$sìý?	rāmayya : mī annayya pērēmiṭi?
çÜ$»ê¾ : Ððþ…MæüsôýÔèýÓÆæÿ$Ï.	subbā : venkaṭēśvarlu.
Æ>Ðèþ$Äæý$Å : Ò$ ™èþÐèþ$$Ãyìþ õ³Ææÿ$?	rāmayya : mī tammuḍi pēru?
çÜ$»ê¾ : VøÑ…§æþ$.	subbā : gōviṁdu.
Æ>Ðèþ$Äæý$Å : Vøï³! ´ùÝëtïœçÜ$ GMæüPyæþ$…¨?	rāmayya : gōpī! pōṣṭāfīsu ekkaḍuṁdi?
Vøí³	gōpi : basṭāṁḍu daggaruṁdi
: ºÝët…yæþ$ §æþVæüYÆæÿ$…¨ ¯é¯èþ²V>Ææÿ*!	nānnagārū!
Æ>Ðèþ$Äæý$Å : Æðÿ…yæþ$ MæüÐèþÆæÿ$Ï ¡çÜ$Mæü$Æ>.	rāmayya : reṁḍu kavarlu tīsukurā.
çÜ$»ê¾ : MæüÐèþÆæÿ$Ï ¯é §æþVæüYÆæÿ$¯é²Æÿ$$. ¡çÜ$Mø…yìþ.	subbā : kavarlu nā daggara unnāyi,
´ùÝëtïœçÜ$	pōsṭāfīsu
Mæü¯éÅÔèý$ËP…	kanyāśulkam
AËÐèþ$Ææÿ	alamara
¡çÜ$Mø	tīsukō
A¯èþ²§æþÐèþ$$ÃË$	annadammulu
A¯èþ²Äæý$Å	annayya
™èþÐèþ$$Ãyæþ$	tammuḍu
ºÝët…yæþ$	basṭāṁḍu
MæüÐèþÆæÿ$	kavaru
¡çÜ$Mæü$Æ>	tīsukurā
1. C¨	idi
(¯óþ¯èþ$) ç³#çÜ¢Mæü….	(nēnu) pustakaṁ.
(GÐèþÆæÿ$) õ³Ææÿ$ MæüÐèþ$Ë?	(evaru) pēru kamala?
2. A¨	adi
(Ò$Ææÿ$) CË$Ï.	(mīru) illu.
(H¨) õ³Ææÿ$ sêÒ$?	(ēdi) pēru ṭāmī?
3. çÜ$Væü$×ý	suguna
(BÐðþ$) ™èþÍÏ. 12. A™èþ¯èþ$	(āme) talli.
4. C¨	idi
(Ðèþ$¯èþ…) §óþÔèý….	(manaṁ) dēśaṁ.
13. C¨	idi
(Ðéâæý$Ï) M>ÏçÜ$.	(vāḷlu) klāsu.
5. A¨	adi
(Ðóþ$…) çÜ*PË$. 14. ÆæÿÑ	(mēṁ) skūlu.
(™èþÐèþ$$Ãyæþ$) õ³ÆóÿÑ$sìý?	(tammuḍu) pērēmiṭi?
6. C¨	idi
(A™èþ¯èþ$) MæüË….	(atanu) kalaṁ.
15. C¨	idi
(BÄæý$¯èþ) Mæü$Èa.	(āyana) kurcī.
7. ¯èþ$Ðèþ#Ó	nuvvu
(Ñ§éÅÇ¦)	(vidyārthi)
(A¨) õ³Ææÿ$ ç³#ïÜÞ.	(adi) pēru pussī.
8. ¯óþ¯èþ$	nēnu
(¿êÆæÿ¡Äæý$$yæþ$)	(bhāratīyuḍu)
17. Vøí³	gōpi
(õÜ²íßý™èþ$Æ>Ë$) õ³ÆóÿÑ$sìý?	(snēhiturālu) pērēmiṭi?
9. Ðèþ$¯èþ…	manaṁ
(Ñ§éÅÆæÿ$¦Ë$)	(vidyārthulu)
18. Ðéâæý$Ï	vāḷḷu
(Ñ§éÅÇ¦°).	(vidyārthini)
19. CÑ Æðÿ…yæþ$	ivi reṁḍu
(í³ÍÏ). 20. Òâæý$Ï	(pilli).
(¿êÆæÿ¡Äæý$$yæþ$).	(bhāratīyuḍu)
1. A¨ í³ÍÏ.	adi pilli.
6. C¨ MæüË….	idi kalaṁ.
2. C¨ ¯é Væü¨.	idi nā gadi.
7. A¨ ± ç³#çÜ¢Mæü….	adi nī pustakaṁ.
3. A™èþ¯èþ$ Ñ§éÅÇ¦.	atanu vidyārthi.
8. ¯èþ$Ðèþ#Ó ¯é õÜ²íßý™èþ$yìþÑ.	nuvvu nā snēhituḍivi.
4. ¯óþ¯èþ$ B…{«§æþ$×ìý~.	nēnu āṁdhruṇṇi.
9. BÄæý$¯èþ yéMæütÆæÿ$.	āyana ḍākṭaru.
5. BÐðþ$ Ñ§éÅÇ¦°.	āme vidyārthini.
10. C™èþ¯èþ$ Asñý…yæþÆæÿ$.	itanu aṭeṁḍaru.
1. Ò$ ¯é¯èþ²V>Ç ¯é¯èþ²V>Ææÿ$ Ò$	mī nānnagāri nānnagāru mī
2. Ò$ Mæü*™èþ$Ç Mæü*™èþ$Ææÿ$ Ò$	mī kūturi kūturu mī
3. Ò$ Möyæþ$Mæü$ Möyæþ$Mæü$ Ò$	mī koḍuku koḍuku mī
4. Ò$ AÐèþ$ÃV>Ç ™èþ…{yìþ Ò$	mī ammagāri taṁḍri mī
5. Ò$ Mæü*™èþ$Ç Möyæþ$Mæü$ Ò$	mī kūturu koḍuku mī
6. Ò$ Möyæþ$Mæü$ Mæü*™èþ$Ææÿ$ Ò$	mī koḍuku kūturu mī
1. Ðéâæý$å G…™èþÐèþ$…¨?	vāḷḷu eṁtamaṁdi? (2)
